date_time_start,date_time_end,latitude,longitude,rhi/ppi,constant angle,type
20220531 143454,20220531 145139,29.705650329589844,-94.49794006347656,ppi,2-8,scattered ordinary cells
20220531 145538,20220531 150725,29.705650329589844,-94.49794006347656,rhi,"300,304",scattered ordinary cells
20220531 150901,20220531 185437,29.705650329589844,-94.49794006347656,ppi,2-12,scattered ordinary cells
20220531 190336,20220531 195932,29.705650329589844,-94.49794006347656,ppi,2-16,deep and shalow cells and a multicell system
20220531 200132,20220531 210527,29.705650329589844,-94.49794006347656,ppi,2-16,weak smaller cells
20220601 154046,20220601 155844,29.705650329589844,-94.49794006347656,ppi,2-16,deep small cells
20220601 160044,20220601 165144,29.28871726989746,-95.43156433105469,ppi,2-16,strong to weakening small cells
20220601 170144,20220601 175823,29.28871726989746,-95.43156433105469,ppi,2-16,weak cells more distant from the radar
20220601 180022,20220601 185859,29.28871726989746,-95.43156433105469,ppi,2-16,general far weak cells and initiation of a close strong cell
20220601 190059,20220601 195855,29.28871726989746,-95.43156433105469,ppi,2-16,mature close cell weakening 
20220601 200054,20220601 205450,29.28871726989746,-95.43156433105469,ppi,2-16,lifecycles of deep close cells
20220601 205653,20220601 210530,29.28871726989746,-95.43156433105469,rhi,"89,91,93,95,97,99",lifecycles of deep close cells
20220601 210544,20220601 211107,29.28871726989746,-95.43156433105469,rhi,"209,211,213,215,217,219",lifecycles of deep close cells
20220602 145809,20220602 150009,29.3812198638916,-95.42166137695312,ppi,2-8,deep cells
20220602 150321,20220602 150556,29.3812198638916,-95.42166137695312,rhi,"357,359,1,3,5,7",deep cells
20220602 150655,20220602 152616,29.3812198638916,-95.42166137695312,rhi,"26,28,30,32,34,36",deep cells
20220602 152746,20220602 154008,29.3812198638916,-95.42166137695312,rhi,"42,46,50,54",deep cells
20220602 154038,20220602 161429,29.3812198638916,-95.42166137695312,rhi,"314,316,318,320,322,324,326,328,330,332",deep cells
20220602 161447,20220602 171646,29.3812198638916,-95.42166137695312,rhi,"335,337,339,341,343,345,347,349,351,353",deep cells
20220602 171714,20220602 173601,29.3812198638916,-95.42166137695312,rhi,"337,339,341,343,345,347,349",deep cells
20220602 173628,20220602 180746,29.3812198638916,-95.42166137695312,rhi,"95,100,105,110,115,120,125",deep cells
20220602 180852,20220602 182539,29.3812198638916,-95.42166137695312,rhi,"271,274,277,280,283,286,289,292,295",deep cells
20220602 182559,20220602 190425,29.3812198638916,-95.42166137695312,rhi,"308,311,314,317,320,323,326,330,333,336,339",deep cells
20220602 190454,20220602 190921,29.3812198638916,-95.42166137695312,rhi,"249,251,253,255,257,259,261,263",deep cells
20220602 190943,20220602 192425,29.3812198638916,-95.42166137695312,rhi,"238,240,242,244,246,248,250,252,256,258",deep cells
20220602 192556,20220602 192914,29.3812198638916,-95.42166137695312,rhi,"231,233,235,237,239,241,243,245",deep cells
20220602 192942,20220602 193443,29.3812198638916,-95.42166137695312,rhi,"225,227,229,231,233,235,237,239",deep cells
20220602 193458,20220602 194212,29.3812198638916,-95.42166137695312,rhi,"217,219,221",deep cells
20220602 200333,20220602 200557,29.3812198638916,-95.42166137695312,ppi,2-4,mature deep cells
20220602 200827,20220602 202110,29.3812198638916,-95.42166137695312,rhi,"122,124,126,128,130,132",mature deep cells
20220602 202122,20220602 203231,29.3812198638916,-95.42166137695312,rhi,"170,174,176,180,184,188,192,196",mature deep cells
20220602 203239,20220602 203754,29.3812198638916,-95.42166137695312,rhi,168,mature deep cells
20220602 203821,20220602 204020,29.3812198638916,-95.42166137695312,ppi,2-4,mature deep cells
20220602 204042,20220602 204938,29.3812198638916,-95.42166137695312,rhi,"168,175,178,180,183",mature deep cells
20220604 172603,20220604 175043,29.288700103759766,-95.43160247802734,ppi,2-8,no visible cells
20220604 175216,20220604 175821,29.288700103759766,-95.43160247802734,rhi,"103,105,107",no visible cells
20220604 180222,20220604 185240,29.288700103759766,-95.43160247802734,ppi,2-8,no visible cells
20220604 185440,20220604 194636,29.288700103759766,-95.43160247802734,ppi,2-8,shallow cell initiation
20220604 194756,20220604 201411,29.288700103759766,-95.43160247802734,rhi,"241,244,247,251,254,257,260,263,266,269,272,275",shallow cell initiation
20220604 201439,20220604 210022,29.288700103759766,-95.43160247802734,rhi,"30,33,36,39,42,45,48,51,54,57,60,63",shallow cell initiation
20220604 210040,20220604 213542,29.288700103759766,-95.43160247802734,rhi,"174,176,178,180,182,184,186",shallow cell initiation
20220604 213553,20220604 214008,29.288700103759766,-95.43160247802734,rhi,"164,166,168,170,172,174,176",shallow cell initiation
20220604 214026,20220604 215512,29.288700103759766,-95.43160247802734,rhi,"149,152,155,158,160,162,164,166,168,170",shallow cell initiation
20220604 221320,20220604 235331,29.288700103759766,-95.43160247802734,rhi,"4,6,8,10,12,14,16,18",shallow cell initiation
20220608 150019,20220608 155135,29.705080032348633,-94.49793243408203,ppi,2-8,no visible cells
20220608 160233,20220608 202428,29.705080032348633,-94.49793243408203,ppi,2-8,no visible cells
20220609 190025,20220609 191457,29.705080032348633,-94.49793243408203,ppi,2-8,deep mature cell
20220609 191651,20220609 194125,29.705080032348633,-94.49793243408203,rhi,"74,77,80,83,86,89,92",deep mature cell
20220609 194424,20220609 231358,29.705080032348633,-94.49793243408203,ppi,2-8,no visible cells
20220616 143643,20220616 171912,29.77050018310547,-93.47769927978516,ppi,2-12,no visible cells
20220616 172112,20220616 181446,29.77050018310547,-93.47769927978516,ppi,2-12,cells developing and in mature stage
20220616 181652,20220616 194204,29.77050018310547,-93.47769927978516,rhi,"65.5,68.5,71.5,74.5,77.5,80.5,83.5,86.5,89.5,92.5,95.5",cells developing and in mature stage
20220616 194418,20220616 195217,29.77050018310547,-93.47769927978516,ppi,2-12,weak cells
20220616 212417,20220616 214505,30.138599395751953,-93.59760284423828,rhi,"31,34,37,40,43,46,49",weak cells
20220616 214529,20220616 221611,30.138599395751953,-93.59760284423828,rhi,"26,28,30,32,34,36",weak cells
20220616 221619,20220616 224326,30.138599395751953,-93.59760284423828,rhi,"20,23,26,29,32,35",weak cells
20220616 224347,20220616 225117,30.138599395751953,-93.59760284423828,rhi,"113,118,123,128,133,138,143,148,153,158",weak cells
20220616 225531,20220616 230340,30.138599395751953,-93.59760284423828,rhi,"94,99,104,109,114,119,124,129",weak cells
20220616 230651,20220616 231243,30.138599395751953,-93.59760284423828,rhi,"100,105,110,115,120,125",weak cells
20220616 231833,20220616 234156,30.138599395751953,-93.59760284423828,rhi,"140,145,150,155,160,165,170,175,180",weak cells
20220616 234207,20220616 000820,30.138599395751953,-93.59760284423828,rhi,"205,210,215,220,225,230,235,240,245",weak cells
20220620 180727,20220620 190002,29.381250381469727,-95.42172241210938,ppi,2-12,small shalow cells
20220620 191456,20220620 211147,29.381250381469727,-95.42172241210938,ppi,2-12,cell development
20220620 211147,20220620 231937,29.381250381469727,-95.42172241210938,ppi,2-12,deep cell lifecycle
20220621 180727,20220621 181341,29.28858757019043,-95.43134307861328,rhi,"286,289,292,295,298,301",deep cells
20220621 181341,20220621 190108,29.28858757019043,-95.43134307861328,rhi,"5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35",deepcells
20220621 190108,20220621 195228,29.28858757019043,-95.43134307861328,rhi,"323,325,327,329,331,333,335,337,339,341,343,345,347,349,351,353,355,357,359,1,3,5,7,9,11,13",deep cells
20220621 195500,20220621 222049,29.28858757019043,-95.43134307861328,ppi,2-12,deep cells
20220622 171735,20220622 192059,29.406129837036133,-96.03648376464844,ppi,2-12,deep cells
20220622 192248,20220622 193652,29.406129837036133,-96.03648376464844,rhi,"85,87,89,91,93,95,97,99,101,103,105",deep cells
20220622 193911,20220622 194702,29.406129837036133,-96.03648376464844,rhi,"129,131,133,135,137,139,141",deep cells
20220622 200139,20220622 200534,29.406129837036133,-96.03648376464844,ppi,2-12,deep cells
20220622 201317,20220622 210100,29.406129837036133,-96.03648376464844,rhi,"67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97",deep cells
20220622 210458,20220622 212624,29.406129837036133,-96.03648376464844,rhi,"349,352,355,357,359,1,3,5,7,9,11,13,15,17",deep cells
20220622 212822,20220622 213621,29.406129837036133,-96.03648376464844,ppi,2-12,deep cells
20220622 213706,20220622 215055,29.406129837036133,-96.03648376464844,rhi,"203,204,206,209,212,215,218,221,226,229,232,235,238,241",deep cells
20220622 215300,20220622 215859,29.406129837036133,-96.03648376464844,ppi,2-12,no visible cells
20220622 215913,20220622 221435,29.406129837036133,-96.03648376464844,rhi,"311,314,317,318,321,324,327,330,333",no visible cells
20220622 221655,20220622 222854,29.406129837036133,-96.03648376464844,ppi,2-12,cell initiation and development
20220622 222919,20220622 225455,29.406129837036133,-96.03648376464844,rhi,"257,259,261,263,265,267,270,273,276,279,282",cell initiation and development
20220622 225903,20220622 231657,29.406129837036133,-96.03648376464844,rhi,"252,254,256,258,260,262,264,266",cell initiation and development
20220622 231923,20220622 232523,29.406129837036133,-96.03648376464844,ppi,2-12,cell initiation and development
20220626 181204,20220626 201834,29.707080841064453,-94.49793243408203,ppi,2-12,no visible cells
20220626 202233,20220626 205831,29.707080841064453,-94.49793243408203,ppi,2-12,shallow cells lifecycle
20220626 210031,20220626 211629,29.707080841064453,-94.49793243408203,ppi,2-12,no visible cells
20220627 190005,20220627 193749,29.40185546875,-96.04106903076172,ppi,2-12,deep cells initiation and intensification
20220627 193927,20220627 214048,29.40185546875,-96.04106903076172,rhi,"286,290,294,298,302,306,310,314,318,319,322,323,325,326,327,329,331,333,51,53,12",deep cells initiation and intensification
20220627 214156,20220627 215356,29.40185546875,-96.04106903076172,ppi,2-12,deep cells initiation and intensification
20220627 220000,20220627 220556,29.40185546875,-96.04106903076172,rhi,"141,145,149,153,157,161,165",deep cells initiation and intensification
20220627 220605,20220627 221134,29.40185546875,-96.04106903076172,rhi,121,deep cells initiation and intensification
20220627 221142,20220627 221352,29.40185546875,-96.04106903076172,rhi,"145,149,153,157,161,165,169",deep cells initiation and intensification
20220627 221621,20220627 230418,29.40185546875,-96.04106903076172,ppi,2-12,multicell/ moderate reflectivities / decaying 
20220627 230543,20220627 234311,29.40185546875,-96.04106903076172,rhi,"141,144,147,150,153,156,159,162,165",multicell/ moderate reflectivities / decaying 
20220627 234529,20220627 235129,29.40185546875,-96.04106903076172,ppi,2-12,multicell/ moderate reflectivities / decaying 
