date_time_start,date_time_end,latitude,longitude,rhi/ppi,constant angle,type
20220602 150920,20220602 210324,29.510412216186523,-95.698486328125,ppi,2-15,deep cells lifecycle
20220602 212336,20220602 221153,29.510412216186523,-95.698486328125,ppi,2-15,deep cells lifecycle
20220602 223801,20220602 005026,29.510412216186523,-95.698486328125,ppi,2-15,deep cells lifecycle
20220604 172223,20220604 190920,29.266738891601562,-95.14827728271484,ppi,2-8,no visible cells
20220604 192620,20220604 202537,29.266738891601562,-95.14827728271484,ppi,2-8,no visible cells
20220604 202743,20220604 233230,29.266738891601562,-95.14827728271484,ppi,2-15,deep cells development
20220608 145650,20220608 202215,29.546293258666992,-94.78748321533203,ppi,2-8,no visible cells
20220609 195859,20220609 220129,29.546297073364258,-94.787353515625,ppi,2-8,no visible cells
20220610 202144,20220610 233521,29.76869010925293,-93.49954986572266,ppi,2-8,no visible cells
20220611 204428,20220611 234424,30.138477325439453,-93.59374237060547,ppi,1-8,no visible cells
20220616 150007,20220616 175230,29.910301208496094,-93.38335418701172,ppi,1-8,no visible cells
20220616 175323,20220616 183401,29.910301208496094,-93.38335418701172,ppi,1-8,cell development
20220616 185458,20220616 210410,29.910301208496094,-93.38335418701172,ppi,2-15,cells lifecycle and deep multicell complex propagates toward the radar range
20220616 210525,20220616 210709,29.910301208496094,-93.38335418701172,ppi,2-36,cells lifecycle and deep multicell complex propagates toward the radar range
20220616 222431,20220616 223042,29.910301208496094,-93.38335418701172,ppi,2-15,deep multicell complex
20220616 223209,20220616 233210,29.910301208496094,-93.38335418701172,ppi,2-36,deep multicell complex
20220616 233310,20220616 000208,29.910301208496094,-93.38335418701172,ppi,2-15,deep multicell complex
20220617 144209,20220617 151857,29.510454177856445,-95.69849395751953,ppi,2-36,deep cells
20220617 154145,20220617 161345,29.510454177856445,-95.69849395751953,ppi,2-36,evoution of cells very close to radar
20220617 161625,20220617 164549,29.510454177856445,-95.69849395751953,ppi,2-15,cells development and merging
20220617 164724,20220617 171631,29.510454177856445,-95.69849395751953,ppi,2-36,deep cells
20220617 173200,20220617 182129,29.510454177856445,-95.69849395751953,ppi,2-15,isolated cells
20220617 195849,20220617 215204,29.510454177856445,-95.69849395751953,ppi,2-15,isolated deep cells development
20220620 165218,20220620 192026,29.42380714416504,-96.06040954589844,ppi,1-8,no visible cells
20220620 200306,20220620 204850,29.42380714416504,-96.06040954589844,ppi,1-8,cell initiation and development
20220620 205059,20220620 213305,29.42380714416504,-96.06040954589844,ppi,2-15,deep isolated cells itensification
20220620 213511,20220620 222720,29.42380714416504,-96.06040954589844,ppi,2-33,deep isolated cells itensification and decaying
20220620 222820,20220620 234644,29.42380714416504,-96.06040954589844,ppi,2-15,isolated cell far from the radar that evolves to a multicell complex
20220620 234904,20220620 234910,29.42380714416504,-96.06040954589844,rhi,270,isolated cell far from the radar that evolves to a multicell complex
20220620 235312,20220621 002711,29.42380714416504,-96.06040954589844,ppi,2-15,decaying of the multicell complex and isolated cell intensifying
20220621 172123,20220621 173026,30.00025177001953,-94.43856048583984,ppi,2-15,no visible cells
20220621 173120,20220621 192213,30.00025177001953,-94.43856048583984,ppi,2-15,isolated cells
20220621 192229,20220621 192614,30.00025177001953,-94.43856048583984,ppi,40,deep cells
20220621 192614,20220621 193146,30.00025177001953,-94.43856048583984,ppi,60,deep cells
20220621 193904,20220621 213700,30.00025177001953,-94.43856048583984,ppi,2-33,deep cells
20220621 213812,20220621 232920,30.00025177001953,-94.43856048583984,ppi,2-15,cells merged into multicell complex
